	Awa Pit	Cha'palaa	Guambiano	Totoro	Tsafiki
16-62. to want		mu			mu
16-81. beautiful	watsal	nara			tsaran
17-13. to think(1)	min	ten			ten
17-17. to know		mi			mi
17-24. to learn		mija			mi i
17-25. to teach		mijakare			mikari
17-32. to forget		pashi	pesanan		pansi
17-51. and		ba			be
17-61. how?	mizha	naa	mantɨ		niya
17-62. how many?		nan			nijanja
17-64. what?	shi	ti	chi	chinɨ	ti
17-65. when?		naama	mana	mana	numasi
17-66. where?	mɨn	nu		muna	nuwi
17-67. which?		naaju			nun
17-68. who?	mɨn	mu	mu	mokɨ	mo
18-13. to shout		wa ti			a ti
18-21. to speak or talk	pata	pa			pa
18-22. to say	kizh	ti	chip		ti
18-221. to tell			waminchip	wamap	
18-23. to be silent		dus			nosa
18-28. the name	mun	mumu	munchi		mumun
18-31. to ask(1)			pai		panha
18-51. to write	pɨnkɨh	pii ki	pɨrɨp	purɨ	pila ki
18-52. to read	izh			aship	
18-56. the paper		kiika	kilka	kilka	
18-71. the flute	kataskwil	junkuspaki			
18-72. the drum	kununu	kununu		palɨ	
19-21. the people		chachilla	misak	misak	tsachila
19-24. the chieftain			karupik	misak karoik	
2-1. the person		chachi			tsachi
2-21. the man			mɨk	mɨk	
2-22. the woman	ashaŋpa	shinpu	ushuk	ishuk	sona
2-23. male(1)			matsinɨ	mɨtsɨrik	
2-27. the child(1)			unɨ	unɨ	na
2-28. the baby		na	unɨ		na
2-31. the husband			kek	kek	
2-32. the wife	ashaŋpa	shinpu		sralɨ	sona
2-35. the father		apa	mɨskei	muskai	apa
2-36. the mother			usri	usri	
2-41. the son			nusrkei	nosrkai	
2-42. the daughter		na'ma	nimpasr	nimpasr	
2-44. the brother			nunek	nonek	
2-45. the sister			nuchak	notsak	
2-461. the old man			kɨllelɨ	kilik	
2-471. the old woman	inkwa	shinpu			sinuka
2-48. the grandson	pampa	paña			
2-5. the grandchild	pampa	paña			
2-73. the stepson		buu na	panam nusrkei		
2-91. I	na		na		
2-92. you (singular)	nu	ñu	nɨ	ñi	nu
2-93. he/she/it			nɨ		
2-931. he		ya			ya
2-94. we			nam	nam	
2-95. you (plural)		ñulla	nɨm	ñim	nula
2-96. they		yala	nɨm		yala
20-11. to fight	wiya	winke			
20-54. the fishnet		ataraya	wasr		dada
21-51. to steal	walku		nilap		
21-52. the thief			nilik	nilik	
24-01. to be	ki		kɨp		
24-04. with		ba	pa		be
24-06. not	chi		ka	ka	te
24-07. this	ana			inɨ	in
24-08. that	sun	juntsa			sun
24-09. here	aŋ	anku	yu	yu	
24-1. there	su	junka	trusrɨ	uyu	hunte
24-11. other	mamaz		katɨkan	kana	manka
24-14. agouti	kukum	kuyu			kuru
3-32. the boar		awentyushu			
3-581. the bird	shitshu	pishku	illi	illi	pitsu
3-585. the hawk	wam			wasrɨ	
3-591. the bat		shupa			supan
3-61. the dog	kwizha	kucha	wera	wera	
3-62. the cat		michi			
3-63. the mouse or rat		iyu	tsim	tsim	iyu
3-75. the deer	payna	mana	pan	pan	mana
3-811. the head louse	muuŋ	mu		mui	mu
3-813. the flea		chijpi	ɨsɨnpik	isimpi	chi'pin
3-817. the ant	im	puna	ayan	akin	din
3-818. the spider	wankul				karan
3-82. the bee	walkan		mawaĭ	maui	
3-83. the fly			pɨlɨm	pɨlɨm	pemanka
3-832. the mosquito	pwil	juru	trarik	pɨlɨm	
3-834. the termites	pulkuju	uñuñu			
3-84. the worm		malyu	kushi	kushi	malun
3-85. the snake		pini	ul	ol	pini
3-9. the jaguar		kela			kela
3-92. the butterfly		punpun			punpu
3-95. the frog			urututuk	totok	
4-11. the body			asr	asr	
4-12. the skin or hide		kika	kalus	kalus	kido
4-14. the hair	ash	ashuwa			a
4-144. the body hair		piju	asr isik	asr isik	afu
4-15. the blood		asa	ani	ani	a'san
4-151. the vein or artery			ani srɨ		a'san sili
4-16. the bone	zhɨh		tsutsik	tsutsik	chide
4-17. the horn	pul		kikul	kikul	
4-18. the tail	mɨta		mɨtr	mɨsr	me
4-19. the back	punsɨh	beenbushu		wentɨ	benen
4-2. the head	kɨzpu	mishpuka			misu
4-204. the face			malɨ	malɨ	
4-209. the chin			kumpampa	kumpampa	
4-21. the eye	kasu	kapuka	kap	kap	kaka
4-214. the eyelash	kasu ash		kap isik		
4-22. the ear	kail	punki	kalu	kalo	punki
4-23. the nose	kimpụ	kijkapa	kim	kim	
4-24. the mouth		fi'paki	trik	trik	fikoro
4-25. the lip		fi'pakika	tril kalus	trik kalus	fikikido
4-26. the tongue		nijka	nilɨ	nilɨ	
4-27. the tooth	sula	tejku	trukul	trukul	
4-272. the molar tooth		buuntejku		notrukul	
4-28. the neck		kutu	nashik	nashik	kudan
4-29. the throat		kutu			kudan
4-3. the shoulder			kiltun	kiltak	
4-31. the arm	sayl		kual	kual palanta	
4-32. the elbow			kualtɨm	kual tonto	
4-34. the finger		tyamishu			temisu
4-344. the fingernail		tyaki	tsɨkɨl	tsukul	
4-345. the claw		tyaki	tsɨkɨl		
4-35. the leg	pimpul			mɨsrtampal	
4-352. the calf of the leg		nechambe	champe		
4-37. the foot	mittɨ		katsik	katsik	
4-38. the toe	mittɨ tɨppu	nemishu	katsik tur		nemi'su
4-393. the feather			isik	illisik	
4-4. the chest	chikuza				tenka
4-41. the breast			pitsɨ wasr	pis wasr	
4-412. the nipple or teat			pitsɨ kap	pis kap	
4-43. the navel			kur	kur	
4-44. the heart	kaijshu	tenpuka	mantrɨ	masr	ten
4-441. the lung	ñandunul	jenana			kefo
4-45. the liver		ajpa	mantrɨ	yalɨmasr	jake
4-46. the stomach	pusun	peshu	patsɨ		
4-461. the intestines or guts	pɨtɨt	peshili	pɨitsi	pui tsi	pesili
4-464. the buttocks		pejuru	pɨi kɨrɨ tulu	pui tɨlɨ	pe' ka
4-49. the testicles		lajpuka			pipoka
4-493. the vagina		su			so
4-494. the vulva	pɨs			pantsik	
4-521. to hiccough		picha' kenu			
4-57. to vomit	kwata	kacha ke	nuñip	nonap	katsa ki
4-61. to sleep		kasu	kip	kip	katso
4-62. to dream		kipi			kipi
4-64. to fart		pechijki			chiki
4-69. to bathe		pipe	pirap	pirap	pipiya
4-72. to be born	kaa	kaya			na i
4-73. pregnant		na pu			na po
4-74. to be alive		chu	ɨsik	ɨsik	son
4-75. to die	ii	pe	kuap	kuap	puya
4-7501. dead		pemu			piya
4-76. to kill		tute	kuechip	kuaitsɨp	tote
4-78. to bury		menna			mena
4-841. the fever		penguma	pachik		
4-87. the physician			mɨmarɨpik	mɨrɨpik	
5-11. to eat		panda fi	map	map	finu
5-12. the food			mamik	mamik	
5-123. ripe		llu	srɨnɨtrik	ɨskɨtik	lun
5-125. rotten	pɨtɨt	pete	trereik	cherɨ	petneka
5-13. to drink	kwan		muchip	mutsɨp	kuj
5-16. to suck	tuk				tsu
5-21. to cook	aj	a	nenɨp	nenɨp	
5-26. the pot	payl	piyama	kɨtsɨ	kɨs	
5-32. the plate			nintak	intak	
5-51. the bread			pitri	pichi	
5-61. the meat			yau	yawi	
5-7. the potato		pullu	ye	ye	pulu
5-71. the fruit		puka	maintrul	trol	ka
5-791. the grease or fat		muli			mulu
5-81. the salt			tre	tre	
5-821. the chili pepper		tyu	kɨrɨ	kɨrɨ	tun
5-86. the milk			pis	pis	kupi
5-97. the egg	wipu	napipu	sruk	sruk	pipoka
6-24. the cotton		kuwa			kuwa
6-28. the fur		ju			fu
6-29. the leather		kika			kido
6-33. to weave			pasr	pasrɨntsik	
6-55. the hat or cap			kuarim	kuari	
7-11. to live			wap	wap	
7-12. the house	yal	ya	ya	yau	
7-22. the door or gate			yaskap	yaskap	
7-26. the floor			pirau	pirau	
7-42. the bed			kiaintsikal	yatsikal	
7-46. the candle			nak	nakɨ	
7-51. the roof	yal kɨh	yamishusa	ya asr		
8-13. the garden	sau		tul	trau	
8-22. to dig		tu wish		pirɨ weshɨp	
8-28. the digging stick (=yamstick)	tɨ		tsik	tsik	tside
8-31. to sow	waa	waj		wantrap	
8-311. the seed		ni	yell	yell	ni
8-47. the maize/corn	pija	pishu	pura	pura	piyo
8-54. the root		telele	srɨl	srɨltsik	telenle
8-56. the leaf	kɨh	haki	ishik	ishik	
8-57. the flower			u	o	
8-6. the tree	tɨ	chi	tusr	tusr	chide
8-6. tree			tsik		
8-68. the tobacco	tankan kɨh		kɨntsɨ	kɨntsɨ	
8-69. to smoke		mish	muchip		
8-75. the bark		kika	kalus	trikkalɨs	kida
8-76. the sap	puzpi	pillu		pitsik	pin
8-81. the palm tree		kukuchi			
8-92. the cassava/manioc	kũ	kujchu	lu	lo	kutsu
8-93. the gourd	kalpu			kel	
8-941. the sugar cane		ela			elab
9-11. to do	ki	ke			ke
9-111. to make		ke			ke
9-16. to tie	ipna	teepu	lusrɨp	lɨtsɨp	tele
9-19. the rope	tɨt		tsi		
9-21. to hit			its	itsɨp	
9-21. to strike or hit or beat	kuzna	ke	kiepachip		ke
9-22. to cut			parɨp	parɨp	po
9-221. to cut down		tuu			tule
9-25. the axe/ax			walɨm	walɨm	
9-27. to split	paa		puship		
9-31. to rub	nɨna	ñiishinu	katsɨsrɨp	katsɨp	
9-33. to pull			srup	srup	muri
9-341. to hang up	kan	yanka			
9-342. to press		ijchaate			
9-36. to wash		manpitsaanu	tsarɨp		tatsi
9-78. the netbag			wasr	wasr	
